x,T
-0.5,729.048583
-0.480027021,813.0566802
-0.460009007,858.097166
-0.439990993,885.0202429
-0.419995497,902.8340081
-0.400022517,915.0809717
-0.380106572,924.3180306
-0.360346359,930.3725882
-0.339920071,935.7285429
-0.319937833,939.2215569
-0.299955595,942.7145709
-0.280417407,944.5775116
-0.259991119,945.9747172
-0.240230906,947.837658
-0.220248668,949.2348636
-0.20026643,949.9334664
-0.180284192,950.6320692
-0.160523979,951.0978044
-0.140319716,951.7964072
-0.120559503,952.49501
-0.100133215,952.49501
-0.080595027,952.49501
-0.060168739,953.4264804
-0.040408526,953.4264804
-0.020204263,953.4264804
0.000222025,953.1936128
0.019760213,953.1936128
0.059502664,953.4264804
0.039742451,953.4264804
0.079706927,952.7278776
0.099689165,952.49501
0.119893428,952.2621424
0.139653641,951.5635396
0.159635879,951.5635396
0.179618117,950.6320692
0.200044405,949.7005988
0.219582593,949.001996
0.239786856,948.0705256
0.259547069,946.4404524
0.279751332,944.1117764
0.30017762,941.7831005
0.319937833,939.2215569
0.339476021,935.7285429
0.359458259,930.3725882
0.379440497,924.085163
0.400022517,915.0809717
0.419995497,902.8340081
0.439990993,885.0202429
0.460009007,858.097166
0.480027021,813.0566802
0.5,729.048583
