x,T
-0.5,474.5908028
-0.494917946,515.5105222
-0.489899418,532.3460639
-0.484944415,553.858145
-0.479925887,564.8480125
-0.474907358,577.7084957
-0.469952356,585.6586126
-0.464933827,594.0763835
-0.459915299,599.6882307
-0.454960296,606.0015588
-0.449941768,610.2104443
-0.44492324,614.8869836
-0.439968237,617.9267342
-0.434949709,621.6679657
-0.429994706,624.0062354
-0.424912652,626.812159
-0.41995765,628.6827747
-0.414939121,631.0210444
-0.409920593,632.8916602
-0.40496559,634.7622759
-0.399947062,636.1652377
-0.394992059,637.8020265
-0.389973531,638.9711613
-0.384955003,640.6079501
-0.38,641.777085
-0.374917946,643.1800468
-0.368032113,644.6431929
-0.350878117,647.9705354
-0.333724121,650.8093765
-0.316570125,653.5939398
-0.299416129,656.248236
-0.282262132,658.5551535
-0.265108136,660.9489157
-0.24795414,662.6479204
-0.230800144,664.5206145
-0.213646148,666.0025076
-0.196492152,667.4844007
-0.179338156,668.618915
-0.16218416,669.9705411
-0.145030164,671.0616331
-0.127876168,671.9790358
-0.110722171,672.7227491
-0.093568175,673.7704188
-0.076414179,674.4272874
-0.059260183,674.5630879
-0.042106187,674.8291555
-0.024952191,675.0518008
-0.007798195,675.1007567
0.009355801,675.1062902
0.026509797,674.8947121
0.043663794,674.6831339
0.06081779,674.4281334
0.077971786,673.9994436
0.095125782,673.3102197
0.112279778,672.7946852
0.129433774,672.192306
0.14658777,671.5030821
0.163741766,670.4230572
0.180895762,669.2996099
0.198049758,667.6985169
0.215203755,666.0974239
0.232357751,664.5831756
0.249511747,662.6347039
0.266665743,660.8599216
0.283819739,658.6074935
0.300973735,656.3116431
0.318127731,653.798681
0.335281727,651.1120295
0.352435723,648.1012613
0.369589719,644.2527177
0.374917946,643.1800468
0.38,641.777085
0.384955003,640.6079501
0.389973531,638.9711613
0.394992059,637.8020265
0.399947062,636.1652377
0.40496559,634.7622759
0.409920593,632.8916602
0.414939121,631.0210444
0.41995765,628.6827747
0.424912652,626.812159
0.429994706,624.0062354
0.434949709,621.6679657
0.439968237,617.9267342
0.44492324,614.8869836
0.449941768,610.2104443
0.454960296,606.0015588
0.459915299,599.6882307
0.464933827,594.0763835
0.469952356,585.6586126
0.474907358,577.7084957
0.479925887,564.8480125
0.484944415,553.858145
0.489899418,532.3460639
0.494917946,515.5105222
0.5,474.5908028
