x,T
-0.5,781.8261672
-0.494977317,802.8907842
-0.490005953,814.2254383
-0.484986731,829.9751894
-0.480015478,838.5237307
-0.475032174,850.3299258
-0.470037167,856.6925302
-0.464982431,866.1843783
-0.459999394,871.3039028
-0.455028188,878.6522726
-0.449985586,882.7861667
-0.444990601,888.5915485
-0.440019538,892.3394034
-0.435048431,897.2017033
-0.430041636,900.2210174
-0.425034801,904.2261868
-0.419968409,907.0742726
-0.415045043,910.4790414
-0.410038273,912.8554064
-0.405031486,915.6604042
-0.399988962,917.8225877
-0.395041792,920.2844545
-0.389999284,922.0608685
-0.385064043,924.308374
-0.379961949,925.6563801
-0.375074407,927.4750729
-0.368127021,927.3866953
-0.356426007,930.3343371
-0.344976318,933.0311422
-0.333340962,935.7777628
-0.32129913,937.2273344
-0.310081699,938.3365699
-0.298338342,940.9724915
-0.287439303,942.2624009
-0.275751044,943.5156738
-0.263615353,944.3643135
-0.252697463,945.54122
-0.240261784,946.8991569
-0.229238253,946.8615401
-0.217679315,948.3894957
-0.205882969,948.0918284
-0.194536905,949.7313588
-0.18246964,949.8823353
-0.171542434,950.224126
-0.159805883,950.7358904
-0.148069241,951.0778414
-0.136650283,950.8466096
-0.125351087,951.124794
-0.113344747,951.6790651
-0.101931788,951.8511387
-0.090275963,951.9595804
-0.078420272,951.6859818
-0.067126066,951.9247442
-0.055476115,952.2029981
-0.043976274,952.0870128
-0.032482502,952.5016928
-0.020686022,951.9549661
-0.009339804,953.3093516
0.00249825,953.2197139
0.014048591,952.3744511
0.025333067,952.0744587
0.036822807,952.1030149
0.048380178,952.5177075
0.06005802,951.8237857
0.071853829,952.5223564
0.083067654,951.7179641
0.095133829,951.3892178
0.106779136,950.9868024
0.117911254,951.5975048
0.129648287,951.214717
0.141223417,950.8622209
0.152535069,951.2718109
0.164778139,950.6303602
0.176191442,950.165634
0.187442926,949.5735157
0.198902182,948.3260654
0.210916944,948.8989115
0.222024242,947.6457058
0.23397533,947.0173375
0.245260107,946.1575678
0.257056389,945.9787698
0.268481306,943.9913866
0.279976477,943.2420371
0.291702313,942.1799939
0.303344047,940.2753112
0.315352845,938.0828246
0.326429594,937.6140418
0.33800566,935.5270243
0.349644365,932.0649238
0.361158428,930.170361
0.372801446,925.8846535
0.375074407,927.4750729
0.379961949,925.6563801
0.385064043,924.308374
0.389999284,922.0608685
0.395041792,920.2844545
0.399988962,917.8225877
0.405031486,915.6604042
0.410038273,912.8554064
0.415045043,910.4790414
0.419968409,907.0742726
0.425034801,904.2261868
0.430041636,900.2210174
0.435048431,897.2017033
0.440019538,892.3394034
0.444990601,888.5915485
0.449985586,882.7861667
0.455028188,878.6522726
0.459999394,871.3039028
0.464982431,866.1843783
0.470037167,856.6925302
0.475032174,850.3299258
0.480015478,838.5237307
0.484986731,829.9751894
0.490005953,814.2254383
0.494977317,802.8907842
0.5,781.8261672
