time, compute_front_height
0,0.976973684
0.80128398,0.843092105
1.279462243,0.707401316
1.737400625,0.571710526
2.141365995,0.436019737
2.552022508,0.291282895
3.063967194,0.161019737
4.243805729,0.027138158
