time, compute_front_length
0.44250363901018913, 1.104736276064121
0.62882096069869, 1.2167204405751957
0.8034934497816595, 1.4512836202820352
0.966521106259097, 1.6746678534011996
1.1411935953420667, 1.8869380394774669
1.2867540029112075, 2.1214200947533364
1.4614264919941777, 2.3225437840143157
1.6244541484716148, 2.5570745139487676
1.7583697234352262, 2.780377622636962
1.9330422125181939, 3.014940802343802
2.0727802037845695, 3.215967142287617
2.235807860262008, 3.4504978722220687
2.4046579330422126, 3.673898330227427
2.5443959243085867, 3.874924670171243
2.7074235807860263, 4.098308903290409
2.8646288209606996, 4.3216769115233795
3.0451237263464335, 4.556256316116413
